order_id,order_placement_date,customer_id,product_id,order_qty
FDEC83622503,"Monday, December 01, 2025",789622,25891302,39.0
FDEC83622503,"Monday, December 01, 2025",789622,25891301,26.0
FDEC83622503,"Monday, December 01, 2025",789622,25891503,205.0
FDEC83622503,"Monday, December 01, 2025",789622,25891501,184.0
FDEC83622503,"Monday, December 01, 2025",789622,25891101,327.0
FDEC83622503,"Monday, December 01, 2025",INVALID,25891401,480.0
FDEC83622503,"Monday, December 01, 2025",INVALID,25891401,480.0
FDEC83622503,"Monday, December 01, 2025",789622,25891301,26.0
FDEC83622503,01-12-2025,789622,25891503,205.0
FDEC82301603,"Monday, December 01, 2025",789301,25891302,54.0
FDEC82301603,"Monday, December 01, 2025",789301,25891503,138.0
FDEC82301603,"Monday, December 01, 2025",789301,25891402,285.0
FDEC82301603,01/12/2025,789301,25891501,245.0
FDEC82301603,"Monday, December 01, 2025",789301,25891602,159.0
FDEC82301603,"Monday, December 01, 2025",ABC987,25891101,352.0
FDEC82301603,"Monday, December 01, 2025",789301,25891603,77.0
FDEC82301603,"Monday, December 01, 2025",ABC987,25891101,352.0
FDEC84102502,"Monday, December 01, 2025",789102,25891302,81.0
FDEC84102502,"Monday, December 01, 2025",789102,25891502,186.0
FDEC84102502,"Monday, December 01, 2025",789102,25891201,357.0
FDEC84102502,01-12-2025,789102,25891501,196.0
FDEC84102502,"Monday, December 01, 2025",789102,25891101,311.0
FDEC84102502,"Monday, December 01, 2025",789102,25891202,303.0
FDEC84102502,"Monday, December 01, 2025",789102,25891502,186.0
FDEC84501603,"Monday, December 01, 2025",789501,25891203,142.0
FDEC84501603,"Monday, December 01, 2025",789501,25891503,105.0
FDEC84501603,2025/12/01,789501,25891402,359.0
FDEC84501603,01/12/2025,789501,25891501,179.0
FDEC84501603,"Monday, December 01, 2025",789501,25891101,402.0
FDEC84501603,"Monday, December 01, 2025",789501,25891603,
FDEC84501603,"Monday, December 01, 2025",789501,25891402,359.0
FDEC83220503,"Monday, December 01, 2025",789220,25891403,306.0
FDEC83220503,"Monday, December 01, 2025",789220,25891503,159.0
FDEC83220503,"Monday, December 01, 2025",789220,25891401,
FDEC83220503,"Monday, December 01, 2025",ABC987,25891202,319.0
FDEC83220503,"Monday, December 01, 2025",789220,25891303,48.0
FDEC83220503,"Monday, December 01, 2025",789220,25891303,48.0
FDEC83621601,"Monday, December 01, 2025",789621,25891601,104.0
FDEC83621601,01/12/2025,789621,25891203,416.0
FDEC83621601,"Monday, December 01, 2025",789621,99999999,369.0
FDEC83621601,"Monday, December 01, 2025",789621,25891103,449.0
FDEC83621601,"Monday, December 01, 2025",789621,25891402,377.0
FDEC83621601,"Monday, December 01, 2025",789621,25891401,468.0
FDEC84220602,"Monday, December 01, 2025",789220,25891502,194.0
FDEC84220602,"Monday, December 01, 2025",789220,25891503,191.0
FDEC84220602,"Monday, December 01, 2025",789220,25891103,347.0
FDEC84220602,"Monday, December 01, 2025",789220,25891602,90.0
FDEC84220602,"Monday, December 01, 2025",789220,25891101,458.0
FDEC84220602,01/12/2025,789220,25891602,90.0
FDEC84301603,01/12/2025,789301,25891302,85.0
FDEC84301603,01-12-2025,789301,25891503,245.0
FDEC84301603,"Monday, December 01, 2025",789301,25891601,58.0
FDEC84301603,"Monday, December 01, 2025",789301,25891603,68.0
FDEC84301603,"Monday, December 01, 2025",789301,88888888,186.0
FDEC84301603,"Monday, December 01, 2025",789301,25891302,85.0
FDEC82401602,01-12-2025,789401,25891203,293.0
FDEC82401602,01-12-2025,789401,25891302,50.0
FDEC82401602,2025/12/01,789401,25891601,120.0
FDEC82401602,"Monday, December 01, 2025",789401,25891602,181.0
FDEC82401602,"Monday, December 01, 2025",789401,25891601,120.0
FDEC82403603,01-12-2025,789403,25891102,335.0
FDEC82403603,"Monday, December 01, 2025",789403,25891502,241.0
FDEC82403603,"Monday, December 01, 2025",INVALID,25891403,445.0
FDEC82403603,"Monday, December 01, 2025",789403,25891101,392.0
FDEC82403603,"Monday, December 01, 2025",789403,25891603,60.0
FDEC82903601,"Monday, December 01, 2025",INVALID,25891203,291.0
FDEC82903601,"Monday, December 01, 2025",ABC987,25891103,362.0
FDEC82903601,"Monday, December 01, 2025",789903,25891601,75.0
FDEC82903601,"Monday, December 01, 2025",789903,25891101,390.0
FDEC82903601,01/12/2025,789903,25891202,442.0
FDEC84403502,"Monday, December 01, 2025",789403,25891203,339.0
FDEC84403502,01/12/2025,789403,25891301,62.0
FDEC84403502,"Monday, December 01, 2025",789403,25891502,248.0
FDEC84403502,"Monday, December 01, 2025",789403,25891402,464.0
FDEC84403502,01/12/2025,789403,25891201,206.0
FDEC82501203,"Monday, December 01, 2025",789501,25891203,331.0
FDEC82501203,"Monday, December 01, 2025",789501,25891201,247.0
FDEC82501203,01/12/2025,789501,25891101,474.0
FDEC82501203,"Monday, December 01, 2025",789501,25891202,429.0
FDEC82622603,01-12-2025,789622,99999999,47.0
FDEC82622603,"Monday, December 01, 2025",789622,25891601,182.0
FDEC82622603,"Monday, December 01, 2025",789622,25891402,428.0
FDEC82622603,"Monday, December 01, 2025",789622,25891603,193.0
FDEC83121503,"Monday, December 01, 2025",789121,25891302,46.0
FDEC83121503,2025/12/01,789121,25891502,155.0
FDEC83121503,01-12-2025,789121,25891503,216.0
FDEC83121503,"Monday, December 01, 2025",789121,25891302,46.0
FDEC83503503,"Monday, December 01, 2025",789503,25891302,36.0
FDEC83503503,"Monday, December 01, 2025",789503,25891503,127.0
FDEC83503503,"Monday, December 01, 2025",789503,88888888,455.0
FDEC83503503,"Monday, December 01, 2025",789503,25891503,127.0
FDEC83903502,"Monday, December 01, 2025",789903,25891301,63.0
FDEC83903502,"Monday, December 01, 2025",789903,25891502,188.0
FDEC83903502,"Monday, December 01, 2025",789903,25891103,375.0
FDEC83903502,01/12/2025,789903,25891202,428.0
FDEC84202501,"Monday, December 01, 2025",789202,25891103,417.0
FDEC84202501,"Monday, December 01, 2025",789202,25891402,312.0
FDEC84202501,"Monday, December 01, 2025",789202,25891501,185.0
FDEC84202501,"Monday, December 01, 2025",789202,25891101,329.0
FDEC84303403,"Monday, December 01, 2025",789303,25891302,28.0
FDEC84303403,"Monday, December 01, 2025",789303,25891301,72.0
FDEC84303403,01-12-2025,789303,25891403,
FDEC84303403,"Monday, December 01, 2025",789303,25891403,
FDEC84503602,"Monday, December 01, 2025",789503,25891503,231.0
FDEC84503602,"Monday, December 01, 2025",789503,25891501,159.0
FDEC84503602,01-12-2025,789503,25891602,193.0
FDEC84503602,"Monday, December 01, 2025",789503,25891602,193.0
FDEC84603503,"Monday, December 01, 2025",789603,88888888,431.0
FDEC84603503,"Monday, December 01, 2025",789603,25891502,203.0
